id_arena,desc_arena
0,Não Identificada
1,1º de Maio
2,Aflitos
3,Alfredo Jaconi
4,Allianz Parque
5,Arena Barueri
6,Arena Condá
7,Arena Corinthians
8,Arena da Amazônia
9,Arena da Baixada
10,Arena das Dunas
11,Arena do Grêmio
12,Arena do Jacaré
13,Arena Grêmio
14,Arena Itaquera
15,Arena Joinville
16,Arena Pantanal
17,Arena Pernambuco
18,Arruda
19,Barradão
20,Batistão
21,Beira Rio
22,Beira-Rio
23,Canindé
24,Castelão
25,Castelão (CE)
26,Centenário
27,Centenário (RS)
28,Cláudio Moacyr
29,Couto Pereira
30,Durival de Brito
31,Edson Passos
32,Engenhão
33,Estádio do Café
34,Estádio do Vale
35,Fonte Luminosa
36,Fonte Nova
37,Heriberto Hulse
38,Heriberto Hülse
39,Ilha do Retiro
40,Independência
41,Ipatingão
42,JK
43,Jóia da Princesa
44,Juiz de Fora
45,Kleber Andrade
46,Kléber Andrade
47,Luiz Lacerda
48,Luso Brasileiro
49,Mané Garrincha
50,Mangueirão
51,Maracanã
52,Mineirão
53,Moacyrzão
54,Moisés Lucarelli
55,Morenão
56,Morumbi
57,Novelli Júnior
58,Olímpico
59,Orlando Scarpelli
60,Pacaembu
61,Palestra Ítalia
62,Parque do Sabiá
63,Pituaçu
64,Prudentão
65,Raulino de Oliveira
66,Ressacada
67,Romildão
68,São Januário
69,Serra Dourada
70,Teixeirão
71,Vila Belmiro
72,Vila Capanema
73,Vila Olímpica
74,Willie Davids
