data,dia,horario,rodada,id_arena,id_clube1,id_clube2,id_clube_vencedor,id_estado_clube1,id_estado_clube2,id_estado_vencedor,qtd_gols_clube1,qtd_gols_clube2
09/05/2015,Sábado,18h30,1ª Rodada,6,8,10,8,24,16,24,2,1
09/05/2015,Sábado,18h30,1ª Rodada,4,21,3,0,25,13,0,2,2
09/05/2015,Sábado,21h00,1ª Rodada,51,15,19,15,19,24,19,1,0
10/05/2015,Domingo,11h00,1ª Rodada,11,17,22,0,21,25,0,3,3
10/05/2015,Domingo,16h00,1ª Rodada,16,12,9,9,13,25,25,0,1
10/05/2015,Domingo,16h00,1ª Rodada,9,4,18,4,16,21,16,3,0
10/05/2015,Domingo,16h00,1ª Rodada,56,26,14,26,25,19,25,2,1
10/05/2015,Domingo,16h00,1ª Rodada,39,27,13,27,17,24,17,4,1
10/05/2015,Domingo,18h30,1ª Rodada,66,5,25,0,24,25,0,1,1
10/05/2015,Domingo,18h30,1ª Rodada,68,28,16,0,19,9,0,0,0
16/05/2015,Sábado,18h30,2ª Rodada,29,10,17,10,16,21,16,2,0
16/05/2015,Sábado,18h30,2ª Rodada,69,16,4,16,9,16,9,2,0
16/05/2015,Sábado,21h00,2ª Rodada,35,9,8,9,25,24,25,1,0
17/05/2015,Domingo,11h00,2ª Rodada,59,13,28,0,24,19,0,0,0
17/05/2015,Domingo,16h00,2ª Rodada,71,25,12,25,25,13,25,1,0
17/05/2015,Domingo,16h00,2ª Rodada,51,14,27,0,19,17,0,2,2
17/05/2015,Domingo,16h00,2ª Rodada,49,3,15,3,13,19,13,4,1
17/05/2015,Domingo,18h30,2ª Rodada,15,19,21,0,24,25,0,0,0
17/05/2015,Domingo,18h30,2ª Rodada,54,22,26,22,25,25,25,1,0
17/05/2015,Domingo,18h30,2ª Rodada,21,18,5,18,21,24,21,1,0
23/05/2015,Sábado,18h30,3ª Rodada,56,26,19,26,25,24,25,3,0
23/05/2015,Sábado,18h30,3ª Rodada,68,28,18,0,19,21,0,1,1
23/05/2015,Sábado,21h00,3ª Rodada,11,17,13,17,21,24,21,1,0
24/05/2015,Domingo,11h00,3ª Rodada,4,21,16,16,25,9,9,0,1
24/05/2015,Domingo,16h00,3ª Rodada,51,15,9,0,19,25,0,0,0
24/05/2015,Domingo,16h00,3ª Rodada,9,4,3,4,16,13,16,1,0
24/05/2015,Domingo,16h00,3ª Rodada,66,5,14,5,24,19,24,2,1
24/05/2015,Domingo,16h00,3ª Rodada,6,8,25,8,24,25,24,1,0
24/05/2015,Domingo,18h30,3ª Rodada,39,27,10,27,17,16,17,1,0
24/05/2015,Domingo,18h30,3ª Rodada,52,12,22,0,13,25,0,1,1
30/05/2015,Sábado,18h30,4ª Rodada,29,10,5,5,16,24,24,1,2
30/05/2015,Sábado,18h30,4ª Rodada,54,22,8,22,25,24,25,3,1
30/05/2015,Sábado,21h00,4ª Rodada,15,19,4,4,24,16,16,1,2
31/05/2015,Domingo,11h00,4ª Rodada,71,25,27,0,25,17,0,2,2
31/05/2015,Domingo,16h00,4ª Rodada,7,9,21,21,25,25,25,0,2
31/05/2015,Domingo,16h00,4ª Rodada,40,3,28,3,13,19,13,3,0
31/05/2015,Domingo,16h00,4ª Rodada,21,18,26,0,21,25,0,0,0
31/05/2015,Domingo,16h00,4ª Rodada,69,16,17,0,9,21,0,1,1
31/05/2015,Domingo,18h30,4ª Rodada,59,13,12,13,24,13,24,2,1
31/05/2015,Domingo,18h30,4ª Rodada,51,14,15,15,19,19,19,2,3
03/06/2015,Quarta-feira,19h30,5ª Rodada,9,4,13,4,16,24,16,1,0
03/06/2015,Quarta-feira,19h30,5ª Rodada,68,28,22,22,19,25,25,0,3
03/06/2015,Quarta-feira,19h30,5ª Rodada,6,8,19,8,24,24,24,2,0
03/06/2015,Quarta-feira,21h00,5ª Rodada,56,26,25,26,25,25,25,3,2
03/06/2015,Quarta-feira,22h00,5ª Rodada,11,17,9,17,21,25,21,3,1
03/06/2015,Quarta-feira,22h00,5ª Rodada,66,5,3,3,24,13,13,1,4
03/06/2015,Quarta-feira,22h00,5ª Rodada,52,12,14,12,13,19,13,1,0
04/06/2015,Quinta-feira,16h00,5ª Rodada,51,15,10,15,19,16,19,2,0
04/06/2015,Quinta-feira,16h00,5ª Rodada,39,27,16,27,17,9,17,1,0
04/06/2015,Quinta-feira,21h00,5ª Rodada,4,21,18,0,25,21,0,1,1
06/06/2015,Sábado,18h30,6ª Rodada,51,14,8,14,19,24,19,1,0
06/06/2015,Sábado,18h30,6ª Rodada,71,25,22,0,25,25,0,2,2
06/06/2015,Sábado,18h30,6ª Rodada,40,3,12,12,13,13,13,1,3
06/06/2015,Sábado,22h00,6ª Rodada,9,4,28,4,16,19,16,2,0
06/06/2015,Sábado,22h00,6ª Rodada,56,26,17,26,25,21,25,2,0
06/06/2015,Sábado,22h00,6ª Rodada,15,19,9,9,24,25,25,0,1
07/06/2015,Domingo,11h00,6ª Rodada,21,18,10,18,21,16,21,2,0
07/06/2015,Domingo,19h30,6ª Rodada,69,16,5,5,9,24,24,0,1
07/06/2015,Domingo,19h30,6ª Rodada,59,13,21,13,24,25,24,2,1
07/06/2015,Domingo,19h30,6ª Rodada,51,15,27,0,19,17,0,0,0
10/06/2015,Quarta-feira,19h30,7ª Rodada,40,3,25,0,13,25,0,2,2
13/06/2015,Sábado,16h20,7ª Rodada,7,9,18,9,25,21,25,2,1
13/06/2015,Sábado,16h20,7ª Rodada,6,8,26,26,24,25,25,0,1
13/06/2015,Sábado,16h20,7ª Rodada,29,10,14,14,16,19,19,0,1
13/06/2015,Sábado,21h00,7ª Rodada,68,28,12,12,19,13,13,1,3
13/06/2015,Sábado,21h00,7ª Rodada,39,27,19,27,17,24,17,2,1
14/06/2015,Domingo,11h00,7ª Rodada,54,22,16,0,25,9,0,0,0
14/06/2015,Domingo,16h00,7ª Rodada,4,21,15,21,25,19,25,2,1
14/06/2015,Domingo,16h00,7ª Rodada,66,5,13,0,24,24,0,1,1
14/06/2015,Domingo,16h00,7ª Rodada,11,17,4,17,21,16,21,2,1
18/06/2015,Quinta-feira,21h00,8ª Rodada,59,13,18,0,24,21,0,0,0
20/06/2015,Sábado,16h20,8ª Rodada,51,14,3,3,19,13,13,0,2
20/06/2015,Sábado,16h20,8ª Rodada,71,25,9,25,25,25,25,1,0
20/06/2015,Sábado,16h20,8ª Rodada,17,27,28,27,17,19,17,2,1
20/06/2015,Sábado,21h00,8ª Rodada,11,17,21,17,21,25,21,1,0
21/06/2015,Domingo,11h00,8ª Rodada,52,12,8,8,13,24,24,0,1
21/06/2015,Domingo,16h00,8ª Rodada,9,4,10,0,16,16,0,2,2
21/06/2015,Domingo,16h00,8ª Rodada,56,26,5,0,25,24,0,1,1
21/06/2015,Domingo,16h00,8ª Rodada,15,19,16,19,24,9,24,2,1
24/06/2015,Quarta-feira,19h30,8ª Rodada,51,15,22,15,19,25,19,2,0
27/06/2015,Sábado,16h00,9ª Rodada,66,5,17,17,24,21,21,1,2
27/06/2015,Sábado,16h00,9ª Rodada,6,8,27,0,24,17,0,1,1
27/06/2015,Sábado,21h00,9ª Rodada,7,9,13,9,25,24,25,2,1
28/06/2015,Domingo,11h00,9ª Rodada,52,3,19,3,13,24,13,1,0
28/06/2015,Domingo,16h00,9ª Rodada,4,21,26,21,25,25,25,4,0
28/06/2015,Domingo,16h00,9ª Rodada,54,22,4,22,25,16,25,2,1
28/06/2015,Domingo,16h00,9ª Rodada,69,16,15,15,9,19,19,1,2
28/06/2015,Domingo,16h00,9ª Rodada,29,10,12,10,16,13,16,1,0
28/06/2015,Domingo,18h30,9ª Rodada,21,18,25,18,21,25,21,1,0
28/06/2015,Domingo,18h30,9ª Rodada,16,28,14,28,19,19,19,1,0
01/07/2015,Quarta-feira,19h30,10ª Rodada,39,27,18,27,17,21,17,3,0
01/07/2015,Quarta-feira,19h30,10ª Rodada,68,28,5,28,19,24,19,1,0
01/07/2015,Quarta-feira,21h00,10ª Rodada,4,21,8,21,25,24,25,2,0
01/07/2015,Quarta-feira,21h00,10ª Rodada,40,3,10,3,13,16,13,2,0
01/07/2015,Quarta-feira,22h00,10ª Rodada,15,19,14,14,24,19,19,0,1
01/07/2015,Quarta-feira,22h00,10ª Rodada,9,4,26,4,16,25,16,2,1
01/07/2015,Quarta-feira,22h00,10ª Rodada,11,17,12,17,21,13,21,1,0
02/07/2015,Quinta-feira,19h30,10ª Rodada,7,9,22,9,25,25,25,2,0
02/07/2015,Quinta-feira,19h30,10ª Rodada,59,13,16,13,24,9,24,3,1
02/07/2015,Quinta-feira,21h00,10ª Rodada,51,15,25,15,19,25,19,2,1
04/07/2015,Sábado,15h00,11ª Rodada,29,10,19,0,16,24,0,0,0
04/07/2015,Sábado,21h00,11ª Rodada,6,8,28,8,24,19,24,1,0
04/07/2015,Sábado,21h00,11ª Rodada,52,12,4,12,13,16,13,2,0
05/07/2015,Domingo,11h00,11ª Rodada,66,5,27,0,24,17,0,2,2
05/07/2015,Domingo,16h00,11ª Rodada,69,16,9,0,9,25,0,0,0
05/07/2015,Domingo,16h00,11ª Rodada,56,26,15,0,25,19,0,0,0
05/07/2015,Domingo,16h00,11ª Rodada,71,25,17,17,25,21,21,1,3
05/07/2015,Domingo,18h30,11ª Rodada,51,14,13,13,19,24,24,1,2
05/07/2015,Domingo,18h30,11ª Rodada,16,22,21,21,25,25,25,0,2
05/07/2015,Domingo,18h30,11ª Rodada,21,18,3,3,21,13,13,1,3
08/07/2015,Quarta-feira,19h30,12ª Rodada,29,10,22,0,16,25,0,0,0
08/07/2015,Quarta-feira,19h30,12ª Rodada,69,16,25,16,9,25,9,4,1
08/07/2015,Quarta-feira,19h30,12ª Rodada,6,8,17,8,24,21,24,1,0
08/07/2015,Quarta-feira,21h00,12ª Rodada,4,21,5,21,25,24,25,3,0
08/07/2015,Quarta-feira,21h00,12ª Rodada,59,13,19,19,24,24,24,0,2
08/07/2015,Quarta-feira,22h00,12ª Rodada,21,18,14,14,21,19,19,1,2
08/07/2015,Quarta-feira,22h00,12ª Rodada,49,28,26,26,19,25,25,0,4
08/07/2015,Quarta-feira,22h00,12ª Rodada,52,3,27,3,13,17,13,2,1
09/07/2015,Quinta-feira,19h30,12ª Rodada,7,9,4,9,25,16,25,2,0
09/07/2015,Quinta-feira,21h00,12ª Rodada,51,15,12,15,19,13,19,1,0
11/07/2015,Sábado,18h30,13ª Rodada,71,25,13,25,25,24,25,3,0
11/07/2015,Sábado,18h30,13ª Rodada,11,17,28,17,21,19,21,2,0
11/07/2015,Sábado,21h00,13ª Rodada,54,22,3,3,25,13,13,0,2
12/07/2015,Domingo,11h00,13ª Rodada,56,26,10,26,25,16,25,3,1
12/07/2015,Domingo,16h00,13ª Rodada,51,14,9,9,19,25,25,0,3
12/07/2015,Domingo,16h00,13ª Rodada,15,19,18,18,24,21,21,0,2
12/07/2015,Domingo,16h00,13ª Rodada,52,12,16,12,13,9,13,1,0
12/07/2015,Domingo,16h00,13ª Rodada,9,4,15,15,16,19,19,1,2
12/07/2015,Domingo,18h30,13ª Rodada,17,27,21,0,17,25,0,2,2
12/07/2015,Domingo,18h30,13ª Rodada,66,5,8,5,24,24,24,2,1
18/07/2015,Sábado,18h30,14ª Rodada,51,14,17,14,19,21,19,1,0
18/07/2015,Sábado,18h30,14ª Rodada,21,18,16,18,21,9,21,2,1
18/07/2015,Sábado,21h00,14ª Rodada,7,9,3,9,25,13,25,1,0
19/07/2015,Domingo,11h00,14ª Rodada,9,4,8,4,16,24,16,1,0
19/07/2015,Domingo,16h00,14ª Rodada,17,27,26,27,17,25,17,2,0
19/07/2015,Domingo,16h00,14ª Rodada,4,21,25,21,25,25,25,1,0
19/07/2015,Domingo,16h00,14ª Rodada,51,15,28,28,19,19,19,1,2
19/07/2015,Domingo,16h00,14ª Rodada,59,13,10,0,24,16,0,0,0
19/07/2015,Domingo,18h30,14ª Rodada,15,19,22,0,24,25,0,1,1
19/07/2015,Domingo,18h30,14ª Rodada,52,12,5,0,13,24,0,1,1
25/07/2015,Sábado,18h30,15ª Rodada,66,5,4,4,24,16,16,1,2
25/07/2015,Sábado,19h30,15ª Rodada,11,17,27,0,21,17,0,1,1
25/07/2015,Sábado,21h00,15ª Rodada,40,3,13,3,13,24,13,1,0
26/07/2015,Domingo,11h00,15ª Rodada,71,25,19,25,25,24,25,2,0
26/07/2015,Domingo,11h00,15ª Rodada,6,8,15,8,24,19,24,2,1
26/07/2015,Domingo,16h00,15ª Rodada,56,26,12,26,25,13,25,1,0
26/07/2015,Domingo,16h00,15ª Rodada,54,22,18,0,25,21,0,0,0
26/07/2015,Domingo,16h00,15ª Rodada,29,10,9,0,16,25,0,1,1
26/07/2015,Domingo,16h00,15ª Rodada,69,16,14,14,9,19,19,0,1
26/07/2015,Domingo,18h30,15ª Rodada,68,28,21,21,19,25,25,1,4
29/07/2015,Quarta-feira,22h00,16ª Rodada,40,3,26,3,13,25,13,3,1
29/07/2015,Quarta-feira,22h00,16ª Rodada,7,9,28,9,25,19,25,3,0
01/08/2015,Sábado,18h30,16ª Rodada,51,15,17,15,19,21,19,1,0
02/08/2015,Domingo,11h00,16ª Rodada,4,21,4,4,25,16,16,0,1
02/08/2015,Domingo,11h00,16ª Rodada,29,10,16,0,16,9,0,1,1
02/08/2015,Domingo,16h00,16ª Rodada,51,14,25,0,19,25,0,2,2
02/08/2015,Domingo,16h00,16ª Rodada,21,18,8,0,21,24,0,0,0
02/08/2015,Domingo,16h00,16ª Rodada,15,19,5,19,24,24,24,2,0
02/08/2015,Domingo,16h00,16ª Rodada,59,13,22,13,24,25,24,3,1
02/08/2015,Domingo,18h30,16ª Rodada,17,27,12,0,17,13,0,0,0
08/08/2015,Sábado,18h30,17ª Rodada,66,5,15,5,24,19,24,1,0
08/08/2015,Sábado,21h00,17ª Rodada,71,25,10,25,25,16,25,3,0
09/08/2015,Domingo,11h00,17ª Rodada,51,28,19,0,19,24,0,0,0
09/08/2015,Domingo,11h00,17ª Rodada,9,4,27,0,16,17,0,1,1
09/08/2015,Domingo,16h00,17ª Rodada,56,26,9,0,25,25,0,1,1
