person,weight,height
1,68,168
2,67,173
3,70,174
4,68,172
5,73,168
6,69,170
7,64,171
8,64,175
9,77,169
10,70,168
11,71,172
12,70,169
13,72,169
14,70,172
15,69,174
16,70,171
17,68,173
18,69,173
19,63,172
20,68,173
21,65,165
22,66,170
23,71,169
24,67,172
25,69,169
26,70,170
27,66,168
28,75,169
29,70,170
30,71,169
31,69,170
32,75,168
33,75,171
34,63,171
35,71,173
36,71,167
37,71,169
38,66,170
39,72,170
40,68,169
41,68,170
42,63,170
43,71,170
44,70,170
45,69,171
46,73,171
47,69,170
48,69,171
49,69,172
50,71,169
51,71,169
52,78,169
53,70,168
54,69,167
55,67,170
56,78,170
57,72,169
58,73,172
59,70,172
60,68,167
61,70,166
62,74,170
63,60,170
64,67,172
65,72,170
66,72,172
67,69,170
68,72,169
69,70,168
70,75,168
71,69,169
72,69,170
73,73,168
74,70,169
75,68,168
76,72,171
77,70,172
78,67,173
79,69,169
80,69,171
81,68,170
82,68,170
83,69,173
84,70,166
85,68,168
86,73,170
87,73,170
88,72,171
89,69,171
90,74,173
91,69,167
92,74,173
93,67,168
94,68,172
95,71,173
96,72,167
97,75,174
98,70,173
99,70,171
100,72,170
101,76,169
102,70,169
103,73,169
104,69,172
105,71,171
106,73,169
107,73,171
108,72,172
109,69,170
110,71,169
111,72,170
112,68,169
113,73,169
114,67,174
115,69,178
116,70,172
117,73,172
118,73,170
119,70,171
120,70,172
121,66,173
122,74,172
123,69,172
124,71,171
125,72,172
126,70,168
127,68,171
128,70,170
129,71,170
130,71,172
131,68,169
132,69,170
133,70,168
134,68,166
135,67,170
136,71,172
137,72,167
138,70,170
139,72,172
140,73,169
141,69,169
142,66,171
143,71,167
144,68,171
145,65,173
146,71,170
147,69,170
148,68,173
149,66,171
150,73,168
151,71,170
152,68,166
153,69,165
154,70,169
155,68,170
156,69,172
157,71,169
158,75,172
159,70,170
160,74,170
161,71,168
162,66,169
163,70,173
164,72,171
165,67,169
166,75,170
167,70,170
168,64,172
169,77,169
170,70,174
171,70,169
172,75,175
173,76,171
174,70,167
175,67,169
176,74,172
177,70,173
178,75,170
179,73,170
180,71,170
181,72,172
182,67,174
183,69,173
184,70,174
185,69,171
186,66,171
187,69,171
188,73,167
189,71,171
190,73,170
191,71,166
192,68,171
193,73,172
194,71,172
195,75,172
196,69,169
197,71,170
198,74,168
199,67,173
200,73,174
201,72,165
202,63,170
203,69,169
204,69,169
205,67,169
206,72,169
207,69,167
208,78,171
209,71,168
210,68,170
211,68,172
212,74,167
213,71,168
214,73,172
215,71,176
216,72,166
217,68,171
218,71,172
219,75,169
220,72,171
221,65,171
222,72,171
223,67,174
224,66,167
225,70,169
226,68,170
227,69,171
228,71,167
229,68,173
230,73,170
231,70,170
232,73,170
233,72,170
234,73,170
235,72,169
236,67,167
237,72,168
238,74,171
239,73,169
240,73,168
241,68,170
242,74,171
243,73,164
244,69,171
245,67,173
246,69,169
247,64,166
248,72,169
249,71,174
250,75,168
251,69,172
252,72,168
253,72,167
254,66,169
255,74,171
256,68,169
257,73,170
258,67,171
259,68,170
260,72,172
261,66,168
262,71,167
263,69,171
264,70,167
265,69,171
266,72,168
267,75,169
268,68,168
269,69,172
270,68,167
271,69,169
272,66,170
273,69,170
274,72,167
275,71,172
276,68,173
277,74,170
278,71,168
279,72,170
280,66,169
281,73,171
282,68,167
283,70,168
284,68,173
285,69,171
286,72,173
287,73,176
288,67,171
289,72,166
290,68,167
291,78,170
292,76,172
293,67,171
294,72,170
295,71,170
296,69,172
297,70,167
298,72,167
299,71,172
300,68,170
301,72,173
302,69,172
303,74,173
304,69,168
305,71,169
306,70,173
307,73,171
308,67,170
309,71,169
310,67,171
311,68,168
312,73,167
313,71,168
314,67,168
315,68,168
316,65,169
317,63,171
318,65,168
319,72,171
320,72,170
321,72,169
322,69,166
323,66,166
324,66,171
325,71,169
326,70,171
327,70,168
328,69,173
329,70,171
330,66,170
331,69,170
332,69,168
333,67,168
334,68,170
335,70,171
336,71,171
337,64,172
338,70,168
339,69,170
340,73,168
341,75,171
342,68,172
343,72,170
344,73,172
345,71,170
346,72,168
347,69,172
348,72,170
349,71,167
350,69,171
351,70,169
352,68,170
353,67,172
354,71,172
355,74,167
356,73,169
357,67,168
358,67,169
359,66,171
360,69,168
361,69,169
362,75,171
363,72,165
364,71,171
365,76,169
366,72,170
367,71,176
368,73,168
369,67,169
370,70,171
371,72,168
372,71,168
373,71,172
374,73,171
375,68,171
376,71,167
377,68,172
378,76,170
379,68,171
380,70,173
381,68,170
382,72,169
383,67,174
384,69,167
385,71,172
386,69,171
387,72,172
388,70,169
389,72,173
390,66,167
391,67,169
392,77,165
393,70,172
394,69,172
395,70,170
396,69,165
397,69,174
398,70,167
399,73,171
400,73,171
401,70,169
402,68,177
403,75,170
404,70,169
405,68,169
406,68,170
407,70,170
408,71,173
409,70,173
410,68,173
411,69,171
412,71,172
413,70,169
414,68,172
415,69,17809
416,72,171
417,68,168
418,72,171
419,66,170
420,67,172
421,73,168
422,63,166
423,67,171
424,72,174
425,69,172
426,77,167
427,68,172
428,67,173
429,71,172
430,67,171
431,74,169
432,69,169
433,70,173
434,70,170
435,73,173
436,72,169
437,68,16300
438,68,169
439,74,172
440,65,169
441,70,170
442,70,172
443,70,171
444,70,169
445,72,170
446,68,171
447,67,172
448,68,172
449,75,174
450,75,171
451,69,172
452,68,169
453,72,169
454,68,171
455,71,170
456,70,171
457,69,168
458,70,170
459,67,170
460,67,172
461,71,168
462,72,172
463,70,171
464,71,168
465,64,169
466,67,170
467,66,170
468,67,172
469,73,169
470,71,171
471,76,168
472,72,168
473,71,174
474,71,169
475,74,172
476,67,170
477,70,169
478,71,171
479,64,168
480,73,171
481,72,171
482,68,167
483,70,171
484,73,171
485,66,170
486,66,169
487,70,170
488,70,172
489,64,169
490,70,172
491,71,170
492,69,171
493,66,168
494,74,171
495,70,168
496,75,167
497,66,169
498,71,170
499,68,174
500,71,173
501,73,168
502,73,172
503,74,172
504,70,172
505,70,169
506,67,167
507,67,172
508,72,169
509,78,167
510,70,171
511,70,173
512,69,170
513,71,168
514,71,169
515,71,169
516,69,174
517,73,167
518,67,171
519,72,167
520,75,172
521,71,170
522,70,169
523,67,173
524,71,168
525,72,168
526,76,167
527,67,170
528,65,171
529,72,169
530,66,170
531,65,170
532,74,170
533,74,170
534,71,167
535,72,175
536,73,173
537,72,168
538,70,173
539,67,169
540,69,168
541,72,169
542,69,169
543,65,169
544,72,170
545,73,170
546,68,170
547,69,170
548,74,175
549,69,172
550,68,172
551,68,166
552,73,171
553,72,172
554,65,172
555,70,170
556,71,166
557,74,170
558,71,167
559,69,171
560,70,171
561,70,169
562,71,172
563,68,167
564,76,169
565,72,167
566,64,172
567,77,171
568,72,170
569,73,168
570,69,169
571,68,172
572,67,168
573,70,171
574,68,170
575,66,169
576,73,173
577,69,169
578,70,169
579,69,171
580,68,172
581,67,171
582,70,170
583,70,170
584,67,172
585,72,170
586,64,168
587,69,169
588,67,171
589,73,169
590,69,168
591,75,169
592,0,169
593,64,170
594,72,167
595,69,169
596,66,171
597,68,168
598,67,170
599,68,171
600,71,171
601,70,170
602,71,168
603,68,169
604,74,169
605,67,170
606,75,168
607,65,166
608,68,172
609,67,172
610,74,171
611,64,168
612,71,168
613,70,167
614,68,169
615,68,168
616,64,174
617,67,172
618,69,168
619,67,168
620,66,168
621,73,167
622,68,168
623,71,174
624,67,172
625,66,169
626,74,167
627,68,169
628,71,171
629,65,171
630,70,169
631,73,174
632,69,172
633,67,168
634,65,170
635,71,169
636,70,172
637,69,169
638,69,172
639,66,169
640,73,170
641,67,169
642,69,169
643,64,168
644,73,168
645,66,170
646,67,173
647,71,169
648,67,165
649,70,168
650,69,173
651,69,169
652,0,171
653,68,168
654,67,17
655,71,172
656,69,173
657,69,169
658,66,173
659,72,169
660,62,170
661,73,170
662,66,171
663,67,172
664,69,171
665,67,169
666,67,168
667,69,172
668,72,169
669,71,174
670,68,170
671,73,168
672,70,172
673,73,170
674,73,170
675,68,174
676,71,168
677,72,172
678,66,172
679,75,168
680,68,174
681,71,171
682,72,173
683,65,163
684,67,170
685,74,167
686,71,174
687,72,168
688,71,167
689,71,170
690,72,173
691,73,169
692,70,171
693,69,168
694,72,170
695,72,168
696,69,170
697,65,172
698,70,173
699,68,170
700,74,170
701,63,171
702,75,171
703,74,168
704,68,169
705,69,173
706,65,166
707,74,170
708,69,171
709,72,169
710,68,164
711,74,167
712,70,174
713,69,172
714,67,172
715,71,172
716,68,172
717,69,167
718,69,174
719,72,169
720,73,172
721,69,168
722,70,168
723,71,172
724,67,15
725,72,167
726,74,173
727,69,175
728,70,169
729,73,175
730,67,170
731,7100,169
732,70,171
733,70,170
734,66,166
735,71,170
736,75,172
737,67,171
738,68,168
739,66,170
740,73,1
741,67,170
742,70,169
743,69,170
744,72,168
745,68,172
746,74,165
747,67,173
748,69,167
749,73,173
750,75,168
751,0,170
752,68,173
753,67,165
754,70,170
755,68,168
756,69,168
757,75,171
758,80,169
759,701908,171
760,71,170
761,65,171
762,70,169
763,71,173
764,72,172
765,74,170
766,66,170
767,76,168
768,74,169
769,70,171
770,75,170
771,71,172
772,75,173
773,71,169
774,69,167
775,70,169
776,73,170
777,73,172
778,69,171
779,67,170
780,72,169
781,74,171
782,69,173
783,68,169
784,68,173
785,71,174
786,67,168
787,72,172
788,70,168
789,69,167
790,69,169
791,75,171
792,70,174
793,68,171
794,66,171
795,73,167
796,70,169
797,71,172
798,76,167
799,69,170
800,70,167
801,69,170
802,72,172
803,70,171
804,67,172
805,68,170
806,75,167
807,70,171
808,67,171
809,68,168
810,72,172
811,73,173
812,75,168
813,73,169
814,73,168
815,69,170
816,63,172
817,71,168
818,67,170
819,67,170
820,74,169
821,68,171
822,72,169
823,74,170
824,68,169
825,71,168
826,71,171
827,70,173
828,74,171
829,69,166
830,70,170
831,70,174
832,66,166
833,70,173
834,71,169
835,69,171
836,71,167
837,74,173
838,70,173
839,65,172
840,69,171
841,72,168
842,70,166
843,67,171
844,70,168
845,67,172
846,72,170
847,71,169
848,71,168
849,70,173
850,73,172
851,63,168
852,74,171
853,68,171
854,70,170
855,67,169
856,66,174
857,69,166
858,75,166
859,68,172
860,70,173
861,70,170
862,67,171
863,71,171
864,69,171
865,70,169
866,74,169
867,74,170
868,67,171
869,66,167
870,70,174
871,70,170
872,67,167
873,71,166
874,68,173
875,66,169
876,66,172
877,72,170
878,70,167
879,69,173
880,67,172
881,68,171
882,71,171
883,70,169
884,73,171
885,68,173
886,69,171
887,71,172
888,66,170
889,71,172
890,68,170
891,71,167
892,71,171
893,69,168
894,67,172
895,65,171
896,67,170
897,74,167
898,66,169
899,66,172
900,72,170
901,66,170
902,70,173
903,76,172
904,66,172
905,78,170
906,73,168
907,71,169
908,71,172
909,66,170
910,68,170
911,72,168
912,72,174
913,69,170
914,72,171
915,72,169
916,67,169
917,71,168
918,67,172
919,72,172
920,72,170
921,66,167
922,66,168
923,66,173
924,69,170
925,71,171
926,77,168
927,69,171
928,66,174
929,74,172
930,73,172
931,69,170
932,70,167
933,74,169
934,68,171
935,69,169
936,74,174
937,68,168
938,69,165
939,70,165
940,70,168
941,73,169
942,68,169
943,75,172
944,70,172
945,69,170
946,70,172
947,69,170
948,71,169
949,68,172
950,71,169
951,73,168
952,65,173
953,71,168
954,69,168
955,71,171
956,72,170
957,71,169
958,68,170
959,74,168
960,76,168
961,72,171
962,72,173
963,71,174
964,70,170
965,69,171
966,74,171
967,67,171
968,72,172
969,69,169
970,69,173
971,71,166
972,69,172
973,68,169
974,71,166
975,73,170
976,74,169
977,72,171
978,66,170
979,71,173
980,73,166
981,70,170
982,70,170
983,72,170
984,70,168
985,68,169
986,68,170
987,76,170
988,69,168
989,70,170
990,70,170
991,68,169
992,71,169
993,69,174
994,69,169
995,71,166
996,74,169
997,70,169
998,72,171
999,67,170
1000,67,168
